,,mean,count,median
0,2017-01-01,116168.14215612924,5051,85532.06883081897
1,2017-02-01,116971.39270216324,4788,86170.0767578125
2,2017-03-01,116289.26068253705,4814,85886.900735825
3,2017-04-01,115927.62143299778,4817,85468.15513392857
4,2017-05-01,115986.86511741861,4749,85636.71254595589
5,2017-06-01,116026.85209534004,4724,85587.82731466091
6,2017-07-01,115848.01449443653,4737,85619.73524305556
7,2017-08-01,114489.95812506911,4842,84514.25679221083
8,2017-09-01,113425.95546959346,4914,83817.42838541666
9,2017-10-01,112812.86179293535,4965,83342.76171875
10,2017-11-01,112006.52825885342,5053,82889.02059659091
11,2017-12-01,110903.75486144377,5253,81638.28211805556
12,2018-01-01,110809.15075632549,5306,81232.27124399564
13,2018-02-01,110309.75984489577,5392,80904.19444188036
14,2018-03-01,110127.21518887223,5458,80952.23323649497
15,2018-04-01,109720.48041263584,5520,80645.1640625
16,2018-05-01,109683.34316204577,5547,80663.71008831522
17,2018-06-01,111120.59897847888,5424,81735.88380166955
18,2018-07-01,111718.5638681038,5431,82231.12735721983
19,2018-08-01,112109.2430053447,5406,82923.33343098959
20,2018-09-01,113099.70510486374,5343,83530.80946180556
21,2018-10-01,113910.16267695151,5333,83870.96875
22,2018-11-01,114481.81374455699,5325,84196.890625
23,2018-12-01,115299.73074459487,5299,85115.59765625
24,2019-01-01,115828.18854531791,5308,86165.21238261522
25,2019-02-01,115835.41833791688,5378,86206.73596191406
26,2019-03-01,116156.26324393087,5407,86631.015625
27,2019-04-01,116391.36959845772,5418,87280.58372395832
28,2019-05-01,117804.72734918761,5305,88508.3583984375
29,2019-06-01,118708.23160237,5249,89236.02467105263
30,2019-07-01,119086.13656485396,5241,89520.118359375
31,2019-08-01,119402.38803386084,5230,89971.58287415493
