	Epoch	train_loss	train_acc	lr	batch_size	epochs	resolush	backbone	Name_model	valid_loss	valid_acc	time	test_loss	test_acc
0	0	0.541	0.815	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0000.pth	0.253	0.912	23.94		
1	1	0.166	0.943	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0001.pth	0.261	0.904	24.22		
2	2	0.156	0.946	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0002.pth	0.467	0.85	24.47		
3	3	0.208	0.926	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0003.pth	0.485	0.846	24.46		
4	4	0.214	0.928	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0004.pth	0.326	0.895	24.4		
5	5	0.235	0.915	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0005.pth	0.438	0.853	24.83		
6	6	0.243	0.918	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0006.pth	0.581	0.811	25.24		
7	7	0.25	0.917	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0007.pth	1.128	0.711	25.36		
8	8	0.265	0.909	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0008.pth	0.527	0.832	25.34		
9	9	0.23	0.921	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0009.pth	0.796	0.807	25.72		
10	10	0.252	0.92	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0010.pth	0.713	0.787	25.32		
11	11	0.232	0.921	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0011.pth	0.507	0.859	25.22		
12	12	0.246	0.92	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0012.pth	0.791	0.797	25.19		
13	13	0.176	0.938	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0013.pth	0.606	0.846	25.29		
14	14	0.245	0.919	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0014.pth	0.573	0.837	25.31		
15	15	0.197	0.935	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0015.pth	0.531	0.838	25.5		
16	16	0.152	0.949	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0016.pth	0.717	0.812	26.07		
17	17	0.175	0.943	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0017.pth	0.488	0.852	24.96		
18	18	0.122	0.959	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0018.pth	0.513	0.864	25.49		
19	19	0.129	0.958	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0019.pth	0.543	0.856	25.24		
20	20	0.143	0.95	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0020.pth	0.438	0.889	25.03		
21	21	0.105	0.966	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0021.pth	0.546	0.867	24.88		
22	22	0.104	0.965	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0022.pth	0.476	0.864	24.79		
23	23	0.084	0.973	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0023.pth	0.516	0.865	24.93		
24	24	0.084	0.973	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0024.pth	0.501	0.864	24.94		
25	25	0.092	0.972	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0025.pth	0.543	0.859	24.92		
26	26	0.056	0.981	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0026.pth	0.964	0.799	24.91		
27	27	0.067	0.977	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0027.pth	0.689	0.846	25.07		
28	28	0.063	0.98	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0028.pth	0.405	0.899	24.92		
29	29	0.046	0.985	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0029.pth	0.528	0.876	25.0		
30	30	0.07	0.98	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0030.pth	0.423	0.887	24.99		
31	31	0.039	0.987	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0031.pth	0.508	0.874	25.31		
32	32	0.055	0.983	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0032.pth	0.577	0.853	24.93		
33	33	0.034	0.989	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0033.pth	0.504	0.885	24.82		
34	34	0.037	0.989	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0034.pth	0.478	0.881	24.85		
35	35	0.044	0.985	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0035.pth	0.525	0.878	24.89		
36	36	0.033	0.99	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0036.pth	0.377	0.912	24.76		
37	37	0.019	0.993	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0037.pth	0.438	0.9	24.97		
38	38	0.015	0.996	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0038.pth	0.408	0.913	24.94		
39	39	0.022	0.993	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0039.pth	0.662	0.865	24.88		
40	40	0.023	0.993	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0040.pth	0.503	0.895	24.76		
41	41	0.024	0.994	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0041.pth	0.441	0.904	24.81		
42	42	0.008	0.998	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0042.pth	0.507	0.901	25.11		
43	43	0.012	0.996	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0043.pth	0.469	0.907	25.43		
44	44	0.013	0.996	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0044.pth	0.507	0.899	25.48		
45	45	0.017	0.994	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0045.pth	0.388	0.925	25.73		
46	46	0.007	0.998	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0046.pth	0.447	0.911	25.75		
47	47	0.002	0.999	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0047.pth	0.405	0.919	24.9		
48	48	0.001	1.0	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0048.pth	0.419	0.924	25.6		
49	49	0.009	0.998	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0049.pth	0.439	0.918	25.28		
50	50	0.006	0.999	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0050.pth	0.424	0.926	25.03		
51	51	0.005	0.998	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0051.pth	0.411	0.925	25.22		
52	52	0.0	1.0	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0052.pth	0.395	0.934	24.97		
53	53	0.0	1.0	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0053.pth	0.399	0.932	24.95		
54	54	0.0	1.0	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0054.pth	0.394	0.935	25.13		
55	55	0.0	1.0	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0055.pth	0.393	0.938	25.91		
56	56	0.0	1.0	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0056.pth	0.392	0.938	25.65		
57	57	0.0	1.0	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0057.pth	0.388	0.936	25.23		
58	58	0.0	1.0	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0058.pth	0.389	0.938	25.26		
59	59	0.0	1.0	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0059.pth	0.395	0.938	24.99		
60	60	0.0	1.0	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0060.pth	0.395	0.938	25.32		
61	61	0.0	1.0	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0061.pth	0.401	0.938	25.6		
62	62	0.0	1.0	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0062.pth	0.394	0.938	25.69		
63	63	0.0	1.0	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0063.pth	0.397	0.939	25.78		
64	64	0.0	1.0	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0064.pth	0.398	0.939	25.61		
65	65	0.0	1.0	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0065.pth	0.399	0.94	25.91		
66	66	0.0	1.0	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0066.pth	0.401	0.939	25.97		
67	67	0.0	1.0	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0067.pth	0.395	0.939	26.47		
68	68	0.0	1.0	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0068.pth	0.395	0.939	26.33		
69	69	0.0	1.0	0.0043	32.0	70.0	224.0	resnet18	checkpoint_0069.pth	0.405	0.935	25.34		
